reading_id,rfid_tag,device_id,data_type,data_value,timestamp,gps_lat,gps_lng
RDG-GPS-0001,RFID-001,GPS926,GPS,"14.644554,121.026468",2026-05-03 09:00:00,14.644554,121.026468
RDG-GPS-0002,RFID-001,GPS936,GPS,"14.630498,120.974825",2026-05-03 11:00:00,14.630498,120.974825
RDG-GPS-0003,RFID-001,GPS206,GPS,"14.61146,121.075961",2026-05-03 13:00:00,14.61146,121.075961
RDG-GPS-0004,RFID-001,GPS218,GPS,"14.640793,121.004958",2026-05-03 15:00:00,14.640793,121.004958
RDG-GPS-0005,RFID-001,GPS259,GPS,"14.626771,121.074513",2026-05-03 17:00:00,14.626771,121.074513
RDG-GPS-0006,RFID-001,GPS834,GPS,"14.555935,121.069497",2026-05-03 19:00:00,14.555935,121.069497
RDG-GPS-0007,RFID-001,GPS973,GPS,"14.553888,121.086507",2026-05-03 21:00:00,14.553888,121.086507
RDG-GPS-0008,RFID-001,GPS966,GPS,"14.536898,121.075353",2026-05-03 23:00:00,14.536898,121.075353
RDG-GPS-0009,RFID-002,GPS949,GPS,"14.36288,121.063428",2026-05-06 03:00:00,14.36288,121.063428
RDG-GPS-0010,RFID-002,GPS889,GPS,"14.401497,121.000355",2026-05-06 05:00:00,14.401497,121.000355
RDG-GPS-0011,RFID-002,GPS265,GPS,"14.402939,121.09798",2026-05-06 07:00:00,14.402939,121.09798
RDG-GPS-0012,RFID-002,GPS537,GPS,"14.480009,121.055168",2026-05-06 09:00:00,14.480009,121.055168
RDG-GPS-0013,RFID-002,GPS807,GPS,"14.478005,121.011187",2026-05-06 11:00:00,14.478005,121.011187
RDG-GPS-0014,RFID-002,GPS954,GPS,"14.528336,121.054559",2026-05-06 13:00:00,14.528336,121.054559
RDG-GPS-0015,RFID-002,GPS540,GPS,"14.490893,121.055253",2026-05-06 15:00:00,14.490893,121.055253
RDG-GPS-0016,RFID-002,GPS915,GPS,"14.482745,121.030826",2026-05-06 17:00:00,14.482745,121.030826
RDG-GPS-0017,RFID-003,GPS466,GPS,"18.04722,121.753989",2026-05-04 11:00:00,18.04722,121.753989
RDG-GPS-0018,RFID-003,GPS205,GPS,"17.482436,121.664953",2026-05-04 13:00:00,17.482436,121.664953
RDG-GPS-0019,RFID-003,GPS995,GPS,"17.008225,121.585988",2026-05-04 15:00:00,17.008225,121.585988
RDG-GPS-0020,RFID-003,GPS258,GPS,"16.524923,121.482066",2026-05-04 17:00:00,16.524923,121.482066
RDG-GPS-0021,RFID-003,GPS266,GPS,"16.088291,121.333674",2026-05-04 19:00:00,16.088291,121.333674
RDG-GPS-0022,RFID-003,GPS522,GPS,"15.604763,121.281077",2026-05-04 21:00:00,15.604763,121.281077
RDG-GPS-0023,RFID-003,GPS440,GPS,"15.02105,121.163656",2026-05-04 23:00:00,15.02105,121.163656
RDG-GPS-0024,RFID-003,GPS785,GPS,"14.608239,121.021171",2026-05-05 01:00:00,14.608239,121.021171
RDG-GPS-0025,RFID-004,GPS373,GPS,"14.547006,121.088675",2026-05-06 03:00:00,14.547006,121.088675
RDG-GPS-0026,RFID-004,GPS491,GPS,"14.472391,121.073185",2026-05-06 05:00:00,14.472391,121.073185
RDG-GPS-0027,RFID-004,GPS327,GPS,"14.53956,121.084374",2026-05-06 07:00:00,14.53956,121.084374
RDG-GPS-0028,RFID-004,GPS458,GPS,"14.468172,121.085817",2026-05-06 09:00:00,14.468172,121.085817
RDG-GPS-0029,RFID-004,GPS333,GPS,"14.474605,121.068963",2026-05-06 11:00:00,14.474605,121.068963
RDG-GPS-0030,RFID-004,GPS508,GPS,"14.462249,121.050889",2026-05-06 13:00:00,14.462249,121.050889
RDG-GPS-0031,RFID-004,GPS891,GPS,"14.468655,121.066778",2026-05-06 15:00:00,14.468655,121.066778
RDG-GPS-0032,RFID-004,GPS509,GPS,"14.459612,121.039948",2026-05-06 17:00:00,14.459612,121.039948
RDG-GPS-0033,RFID-005,GPS439,GPS,"14.706252,121.010466",2026-05-04 02:00:00,14.706252,121.010466
RDG-GPS-0034,RFID-005,GPS367,GPS,"14.719609,120.93862",2026-05-04 04:00:00,14.719609,120.93862
RDG-GPS-0035,RFID-005,GPS371,GPS,"14.630928,121.024325",2026-05-04 06:00:00,14.630928,121.024325
RDG-GPS-0036,RFID-005,GPS453,GPS,"14.604283,120.988714",2026-05-04 08:00:00,14.604283,120.988714
RDG-GPS-0037,RFID-005,GPS720,GPS,"14.660697,120.961411",2026-05-04 10:00:00,14.660697,120.961411
RDG-GPS-0038,RFID-005,GPS690,GPS,"14.673652,120.942593",2026-05-04 12:00:00,14.673652,120.942593
RDG-GPS-0039,RFID-005,GPS546,GPS,"14.581622,120.936453",2026-05-04 14:00:00,14.581622,120.936453
RDG-GPS-0040,RFID-005,GPS651,GPS,"14.550169,121.025558",2026-05-04 16:00:00,14.550169,121.025558
RDG-GPS-0041,RFID-006,GPS854,GPS,"14.568686,121.044026",2026-05-05 01:00:00,14.568686,121.044026
RDG-GPS-0042,RFID-006,GPS171,GPS,"14.569049,120.990179",2026-05-05 03:00:00,14.569049,120.990179
RDG-GPS-0043,RFID-006,GPS738,GPS,"14.598859,121.049591",2026-05-05 05:00:00,14.598859,121.049591
RDG-GPS-0044,RFID-006,GPS837,GPS,"14.537349,121.046073",2026-05-05 07:00:00,14.537349,121.046073
RDG-GPS-0045,RFID-006,GPS782,GPS,"14.597948,121.015741",2026-05-05 09:00:00,14.597948,121.015741
RDG-GPS-0046,RFID-006,GPS402,GPS,"14.550768,121.009026",2026-05-05 11:00:00,14.550768,121.009026
RDG-GPS-0047,RFID-006,GPS780,GPS,"14.567356,120.991727",2026-05-05 13:00:00,14.567356,120.991727
RDG-GPS-0048,RFID-006,GPS278,GPS,"14.607936,121.044032",2026-05-05 15:00:00,14.607936,121.044032
RDG-GPS-0049,RFID-007,GPS661,GPS,"14.671551,120.940095",2026-05-03 11:00:00,14.671551,120.940095
RDG-GPS-0050,RFID-007,GPS315,GPS,"14.684801,120.943673",2026-05-03 13:00:00,14.684801,120.943673
RDG-GPS-0051,RFID-007,GPS770,GPS,"14.635846,120.97457",2026-05-03 15:00:00,14.635846,120.97457
RDG-GPS-0052,RFID-007,GPS791,GPS,"14.616511,120.964036",2026-05-03 17:00:00,14.616511,120.964036
RDG-GPS-0053,RFID-007,GPS915,GPS,"14.597084,120.970461",2026-05-03 19:00:00,14.597084,120.970461
RDG-GPS-0054,RFID-007,GPS390,GPS,"14.640739,120.992314",2026-05-03 21:00:00,14.640739,120.992314
RDG-GPS-0055,RFID-007,GPS443,GPS,"14.610117,120.993008",2026-05-03 23:00:00,14.610117,120.993008
RDG-GPS-0056,RFID-007,GPS340,GPS,"14.559339,121.0282",2026-05-04 01:00:00,14.559339,121.0282
RDG-GPS-0057,RFID-008,GPS303,GPS,"18.01728,121.772464",2026-05-04 19:00:00,18.01728,121.772464
RDG-GPS-0058,RFID-008,GPS586,GPS,"17.459821,121.644779",2026-05-04 21:00:00,17.459821,121.644779
RDG-GPS-0059,RFID-008,GPS566,GPS,"17.001299,121.607163",2026-05-04 23:00:00,17.001299,121.607163
RDG-GPS-0060,RFID-008,GPS299,GPS,"16.476701,121.483448",2026-05-05 01:00:00,16.476701,121.483448
RDG-GPS-0061,RFID-008,GPS509,GPS,"16.002177,121.349026",2026-05-05 03:00:00,16.002177,121.349026
RDG-GPS-0062,RFID-008,GPS105,GPS,"15.449827,121.266392",2026-05-05 05:00:00,15.449827,121.266392
RDG-GPS-0063,RFID-008,GPS209,GPS,"15.00978,121.176987",2026-05-05 07:00:00,15.00978,121.176987
RDG-GPS-0064,RFID-008,GPS923,GPS,"14.493442,121.002984",2026-05-05 09:00:00,14.493442,121.002984
RDG-GPS-0065,RFID-009,GPS151,GPS,"14.495797,120.981796",2026-05-03 14:00:00,14.495797,120.981796
RDG-GPS-0066,RFID-009,GPS224,GPS,"14.484798,121.041561",2026-05-03 16:00:00,14.484798,121.041561
RDG-GPS-0067,RFID-009,GPS783,GPS,"14.50376,121.04977",2026-05-03 18:00:00,14.50376,121.04977
RDG-GPS-0068,RFID-009,GPS424,GPS,"14.540285,121.045335",2026-05-03 20:00:00,14.540285,121.045335
RDG-GPS-0069,RFID-009,GPS727,GPS,"14.611233,121.0984",2026-05-03 22:00:00,14.611233,121.0984
RDG-GPS-0070,RFID-009,GPS536,GPS,"14.626786,121.118273",2026-05-04 00:00:00,14.626786,121.118273
RDG-GPS-0071,RFID-009,GPS262,GPS,"14.6574,121.103673",2026-05-04 02:00:00,14.6574,121.103673
RDG-GPS-0072,RFID-009,GPS365,GPS,"14.677766,121.116167",2026-05-04 04:00:00,14.677766,121.116167
RDG-GPS-0073,RFID-010,GPS383,GPS,"14.687378,121.067086",2026-05-03 18:00:00,14.687378,121.067086
RDG-GPS-0074,RFID-010,GPS741,GPS,"14.677039,121.034787",2026-05-03 20:00:00,14.677039,121.034787
RDG-GPS-0075,RFID-010,GPS830,GPS,"14.612639,121.026202",2026-05-03 22:00:00,14.612639,121.026202
RDG-GPS-0076,RFID-010,GPS427,GPS,"14.605544,121.008943",2026-05-04 00:00:00,14.605544,121.008943
RDG-GPS-0077,RFID-010,GPS254,GPS,"14.654531,120.989386",2026-05-04 02:00:00,14.654531,120.989386
RDG-GPS-0078,RFID-010,GPS823,GPS,"14.576612,121.050281",2026-05-04 04:00:00,14.576612,121.050281
RDG-GPS-0079,RFID-010,GPS438,GPS,"14.563138,121.02193",2026-05-04 06:00:00,14.563138,121.02193
RDG-GPS-0080,RFID-010,GPS311,GPS,"14.584261,121.021577",2026-05-04 08:00:00,14.584261,121.021577
RDG-GPS-0081,RFID-011,GPS888,GPS,"14.633089,120.969148",2026-05-04 08:00:00,14.633089,120.969148
RDG-GPS-0082,RFID-011,GPS977,GPS,"14.604508,121.003138",2026-05-04 10:00:00,14.604508,121.003138
RDG-GPS-0083,RFID-011,GPS588,GPS,"14.630466,120.99454",2026-05-04 12:00:00,14.630466,120.99454
RDG-GPS-0084,RFID-011,GPS871,GPS,"14.53929,120.975533",2026-05-04 14:00:00,14.53929,120.975533
RDG-GPS-0085,RFID-011,GPS955,GPS,"14.573999,121.032907",2026-05-04 16:00:00,14.573999,121.032907
RDG-GPS-0086,RFID-011,GPS659,GPS,"14.573202,121.02188",2026-05-04 18:00:00,14.573202,121.02188
RDG-GPS-0087,RFID-011,GPS599,GPS,"14.607587,121.040295",2026-05-04 20:00:00,14.607587,121.040295
RDG-GPS-0088,RFID-011,GPS129,GPS,"14.545842,120.997484",2026-05-04 22:00:00,14.545842,120.997484
RDG-GPS-0089,RFID-012,GPS917,GPS,"14.613086,121.032187",2026-05-06 02:00:00,14.613086,121.032187
RDG-GPS-0090,RFID-012,GPS578,GPS,"14.591517,120.974547",2026-05-06 04:00:00,14.591517,120.974547
