reading_id,rfid_tag,device_id,data_type,data_value,timestamp
RDG-RFD-0001,RFID-001,RFD771,RFID,VERIFIED,2026-05-03 11:00:00
RDG-RFD-0002,RFID-001,RFD825,RFID,FLAGGED,2026-05-03 16:00:00
RDG-RFD-0003,RFID-001,RFD485,RFID,VERIFIED,2026-05-03 17:00:00
RDG-RFD-0004,RFID-001,RFD786,RFID,VERIFIED,2026-05-03 23:00:00
RDG-RFD-0005,RFID-002,RFD118,RFID,VERIFIED,2026-05-06 06:00:00
RDG-RFD-0006,RFID-002,RFD319,RFID,VERIFIED,2026-05-06 09:00:00
RDG-RFD-0007,RFID-002,RFD597,RFID,VERIFIED,2026-05-06 13:00:00
RDG-RFD-0008,RFID-003,RFD258,RFID,VERIFIED,2026-05-04 12:00:00
RDG-RFD-0009,RFID-003,RFD907,RFID,VERIFIED,2026-05-04 15:00:00
RDG-RFD-0010,RFID-003,RFD652,RFID,VERIFIED,2026-05-04 19:00:00
RDG-RFD-0011,RFID-003,RFD997,RFID,VERIFIED,2026-05-04 23:00:00
RDG-RFD-0012,RFID-004,RFD285,RFID,FLAGGED,2026-05-06 06:00:00
RDG-RFD-0013,RFID-004,RFD144,RFID,VERIFIED,2026-05-06 08:00:00
RDG-RFD-0014,RFID-004,RFD836,RFID,VERIFIED,2026-05-06 14:00:00
RDG-RFD-0015,RFID-004,RFD725,RFID,VERIFIED,2026-05-06 16:00:00
RDG-RFD-0016,RFID-005,RFD344,RFID,FLAGGED,2026-05-04 05:00:00
RDG-RFD-0017,RFID-005,RFD903,RFID,VERIFIED,2026-05-04 08:00:00
RDG-RFD-0018,RFID-005,RFD298,RFID,VERIFIED,2026-05-04 13:00:00
RDG-RFD-0019,RFID-005,RFD684,RFID,VERIFIED,2026-05-04 16:00:00
RDG-RFD-0020,RFID-005,RFD388,RFID,VERIFIED,2026-05-04 21:00:00
RDG-RFD-0021,RFID-006,RFD936,RFID,VERIFIED,2026-05-05 04:00:00
RDG-RFD-0022,RFID-006,RFD241,RFID,VERIFIED,2026-05-05 06:00:00
RDG-RFD-0023,RFID-006,RFD592,RFID,FLAGGED,2026-05-05 11:00:00
RDG-RFD-0024,RFID-006,RFD205,RFID,VERIFIED,2026-05-05 15:00:00
RDG-RFD-0025,RFID-006,RFD881,RFID,VERIFIED,2026-05-05 17:00:00
RDG-RFD-0026,RFID-006,RFD625,RFID,VERIFIED,2026-05-05 22:00:00
RDG-RFD-0027,RFID-007,RFD327,RFID,FLAGGED,2026-05-03 14:00:00
RDG-RFD-0028,RFID-007,RFD127,RFID,VERIFIED,2026-05-03 18:00:00
RDG-RFD-0029,RFID-007,RFD614,RFID,FLAGGED,2026-05-03 22:00:00
RDG-RFD-0030,RFID-007,RFD183,RFID,FLAGGED,2026-05-04 01:00:00
RDG-RFD-0031,RFID-008,RFD201,RFID,FLAGGED,2026-05-04 20:00:00
RDG-RFD-0032,RFID-008,RFD240,RFID,VERIFIED,2026-05-05 01:00:00
RDG-RFD-0033,RFID-008,RFD949,RFID,VERIFIED,2026-05-05 03:00:00
RDG-RFD-0034,RFID-008,RFD242,RFID,VERIFIED,2026-05-05 10:00:00
RDG-RFD-0035,RFID-008,RFD105,RFID,VERIFIED,2026-05-05 14:00:00
RDG-RFD-0036,RFID-009,RFD955,RFID,VERIFIED,2026-05-03 14:00:00
RDG-RFD-0037,RFID-009,RFD844,RFID,VERIFIED,2026-05-03 19:00:00
RDG-RFD-0038,RFID-009,RFD395,RFID,FLAGGED,2026-05-04 01:00:00
RDG-RFD-0039,RFID-010,RFD344,RFID,FLAGGED,2026-05-03 20:00:00
RDG-RFD-0040,RFID-010,RFD737,RFID,VERIFIED,2026-05-04 01:00:00
RDG-RFD-0041,RFID-010,RFD956,RFID,FLAGGED,2026-05-04 05:00:00
RDG-RFD-0042,RFID-010,RFD116,RFID,VERIFIED,2026-05-04 09:00:00
RDG-RFD-0043,RFID-011,RFD101,RFID,VERIFIED,2026-05-04 09:00:00
RDG-RFD-0044,RFID-011,RFD526,RFID,FLAGGED,2026-05-04 14:00:00
RDG-RFD-0045,RFID-011,RFD187,RFID,VERIFIED,2026-05-04 17:00:00
RDG-RFD-0046,RFID-011,RFD638,RFID,FLAGGED,2026-05-04 22:00:00
RDG-RFD-0047,RFID-012,RFD144,RFID,VERIFIED,2026-05-06 05:00:00
RDG-RFD-0048,RFID-012,RFD359,RFID,VERIFIED,2026-05-06 09:00:00
RDG-RFD-0049,RFID-012,RFD169,RFID,VERIFIED,2026-05-06 10:00:00
RDG-RFD-0050,RFID-013,RFD743,RFID,VERIFIED,2026-05-06 06:00:00
RDG-RFD-0051,RFID-013,RFD852,RFID,VERIFIED,2026-05-06 09:00:00
RDG-RFD-0052,RFID-013,RFD460,RFID,FLAGGED,2026-05-06 15:00:00
RDG-RFD-0053,RFID-013,RFD279,RFID,VERIFIED,2026-05-06 19:00:00
