reading_id,rfid_tag,device_id,data_type,data_value,timestamp
RDG-TMP-0001,RFID-001,TMP649,Temperature,3.2,2026-05-03 09:00:00
RDG-TMP-0002,RFID-001,TMP632,Temperature,9.0,2026-05-03 11:00:00
RDG-TMP-0003,RFID-001,TMP834,Temperature,6.1,2026-05-03 13:00:00
RDG-TMP-0004,RFID-001,TMP622,Temperature,2.5,2026-05-03 15:00:00
RDG-TMP-0005,RFID-001,TMP235,Temperature,2.3,2026-05-03 17:00:00
RDG-TMP-0006,RFID-001,TMP159,Temperature,4.7,2026-05-03 19:00:00
RDG-TMP-0007,RFID-001,TMP415,Temperature,6.0,2026-05-03 21:00:00
RDG-TMP-0008,RFID-001,TMP936,Temperature,4.4,2026-05-03 23:00:00
RDG-TMP-0009,RFID-002,TMP174,Temperature,-27.3,2026-05-06 03:00:00
RDG-TMP-0010,RFID-002,TMP165,Temperature,-27.0,2026-05-06 05:00:00
RDG-TMP-0011,RFID-002,TMP170,Temperature,-29.9,2026-05-06 07:00:00
RDG-TMP-0012,RFID-002,TMP393,Temperature,-29.1,2026-05-06 09:00:00
RDG-TMP-0013,RFID-002,TMP884,Temperature,-28.5,2026-05-06 11:00:00
RDG-TMP-0014,RFID-002,TMP530,Temperature,-28.5,2026-05-06 13:00:00
RDG-TMP-0015,RFID-002,TMP559,Temperature,-28.2,2026-05-06 15:00:00
RDG-TMP-0016,RFID-002,TMP484,Temperature,-28.2,2026-05-06 17:00:00
RDG-TMP-0017,RFID-004,TMP995,Temperature,16.9,2026-05-06 03:00:00
RDG-TMP-0018,RFID-004,TMP456,Temperature,13.3,2026-05-06 05:00:00
RDG-TMP-0019,RFID-004,TMP502,Temperature,17.0,2026-05-06 07:00:00
RDG-TMP-0020,RFID-004,TMP328,Temperature,13.5,2026-05-06 09:00:00
RDG-TMP-0021,RFID-004,TMP405,Temperature,13.5,2026-05-06 11:00:00
RDG-TMP-0022,RFID-004,TMP534,Temperature,13.4,2026-05-06 13:00:00
RDG-TMP-0023,RFID-004,TMP353,Temperature,13.6,2026-05-06 15:00:00
RDG-TMP-0024,RFID-004,TMP293,Temperature,12.3,2026-05-06 17:00:00
RDG-TMP-0025,RFID-005,TMP215,Temperature,13.5,2026-05-04 02:00:00
RDG-TMP-0026,RFID-005,TMP729,Temperature,16.0,2026-05-04 04:00:00
RDG-TMP-0027,RFID-005,TMP116,Temperature,13.8,2026-05-04 06:00:00
RDG-TMP-0028,RFID-005,TMP708,Temperature,12.1,2026-05-04 08:00:00
RDG-TMP-0029,RFID-005,TMP820,Temperature,15.8,2026-05-04 10:00:00
RDG-TMP-0030,RFID-005,TMP145,Temperature,12.5,2026-05-04 12:00:00
RDG-TMP-0031,RFID-005,TMP322,Temperature,12.5,2026-05-04 14:00:00
RDG-TMP-0032,RFID-005,TMP243,Temperature,13.6,2026-05-04 16:00:00
RDG-TMP-0033,RFID-007,TMP935,Temperature,-18.8,2026-05-03 11:00:00
RDG-TMP-0034,RFID-007,TMP691,Temperature,-17.7,2026-05-03 13:00:00
RDG-TMP-0035,RFID-007,TMP428,Temperature,-17.3,2026-05-03 15:00:00
RDG-TMP-0036,RFID-007,TMP776,Temperature,-16.5,2026-05-03 17:00:00
RDG-TMP-0037,RFID-007,TMP381,Temperature,-18.3,2026-05-03 19:00:00
RDG-TMP-0038,RFID-007,TMP852,Temperature,-13.2,2026-05-03 21:00:00
RDG-TMP-0039,RFID-007,TMP537,Temperature,-17.5,2026-05-03 23:00:00
RDG-TMP-0040,RFID-007,TMP452,Temperature,-19.8,2026-05-04 01:00:00
RDG-TMP-0041,RFID-009,TMP904,Temperature,13.3,2026-05-03 14:00:00
RDG-TMP-0042,RFID-009,TMP518,Temperature,13.4,2026-05-03 16:00:00
RDG-TMP-0043,RFID-009,TMP872,Temperature,15.1,2026-05-03 18:00:00
RDG-TMP-0044,RFID-009,TMP330,Temperature,12.5,2026-05-03 20:00:00
RDG-TMP-0045,RFID-009,TMP925,Temperature,13.4,2026-05-03 22:00:00
RDG-TMP-0046,RFID-009,TMP522,Temperature,12.1,2026-05-04 00:00:00
RDG-TMP-0047,RFID-009,TMP237,Temperature,13.1,2026-05-04 02:00:00
RDG-TMP-0048,RFID-009,TMP438,Temperature,12.5,2026-05-04 04:00:00
RDG-TMP-0049,RFID-011,TMP967,Temperature,-16.3,2026-05-04 08:00:00
RDG-TMP-0050,RFID-011,TMP949,Temperature,-17.9,2026-05-04 10:00:00
RDG-TMP-0051,RFID-011,TMP789,Temperature,-15.2,2026-05-04 12:00:00
RDG-TMP-0052,RFID-011,TMP174,Temperature,-19.8,2026-05-04 14:00:00
RDG-TMP-0053,RFID-011,TMP841,Temperature,-13.7,2026-05-04 16:00:00
RDG-TMP-0054,RFID-011,TMP313,Temperature,-19.1,2026-05-04 18:00:00
RDG-TMP-0055,RFID-011,TMP115,Temperature,-18.7,2026-05-04 20:00:00
RDG-TMP-0056,RFID-011,TMP859,Temperature,-19.2,2026-05-04 22:00:00
RDG-TMP-0057,RFID-013,TMP590,Temperature,-25.0,2026-05-06 05:00:00
RDG-TMP-0058,RFID-013,TMP820,Temperature,-28.6,2026-05-06 07:00:00
