reading_id,rfid_tag,device_id,data_type,data_value,timestamp,gps_lat,gps_lng,temperature_c
RDG-GPS-0153,RFID-020,GPS255,GPS,"14.667702,120.978645",2026-05-03 07:00:00,14.667702,120.978645,
RDG-RFD-0082,RFID-020,RFD479,RFID,VERIFIED,2026-05-03 08:00:00,,,
RDG-GPS-0001,RFID-001,GPS926,GPS,"14.644554,121.026468",2026-05-03 09:00:00,14.644554,121.026468,
RDG-GPS-0154,RFID-020,GPS411,GPS,"14.597148,120.976441",2026-05-03 09:00:00,14.597148,120.976441,
RDG-TMP-0001,RFID-001,TMP649,Temperature,3.2,2026-05-03 09:00:00,,,3.2
RDG-GPS-0155,RFID-020,GPS671,GPS,"14.562975,120.955133",2026-05-03 11:00:00,14.562975,120.955133,
RDG-TMP-0033,RFID-007,TMP935,Temperature,-18.8,2026-05-03 11:00:00,,,-18.8
RDG-TMP-0002,RFID-001,TMP632,Temperature,9.0,2026-05-03 11:00:00,,,9.0
RDG-GPS-0049,RFID-007,GPS661,GPS,"14.671551,120.940095",2026-05-03 11:00:00,14.671551,120.940095,
RDG-GPS-0002,RFID-001,GPS936,GPS,"14.630498,120.974825",2026-05-03 11:00:00,14.630498,120.974825,
RDG-RFD-0001,RFID-001,RFD771,RFID,VERIFIED,2026-05-03 11:00:00,,,
RDG-TMP-0137,RFID-034,TMP106,Temperature,-19.5,2026-05-03 12:00:00,,,-19.5
RDG-GPS-0265,RFID-034,GPS177,GPS,"14.583872,120.978217",2026-05-03 12:00:00,14.583872,120.978217,
RDG-GPS-0337,RFID-043,GPS819,GPS,"14.276745,120.968042",2026-05-03 12:00:00,14.276745,120.968042,
RDG-GPS-0329,RFID-042,GPS691,GPS,"14.676741,120.926865",2026-05-03 13:00:00,14.676741,120.926865,
RDG-TMP-0185,RFID-042,TMP870,Temperature,-29.6,2026-05-03 13:00:00,,,-29.6
RDG-TMP-0129,RFID-031,TMP672,Temperature,-17.1,2026-05-03 13:00:00,,,-17.1
RDG-GPS-0003,RFID-001,GPS206,GPS,"14.61146,121.075961",2026-05-03 13:00:00,14.61146,121.075961,
RDG-GPS-0156,RFID-020,GPS909,GPS,"14.60313,121.001103",2026-05-03 13:00:00,14.60313,121.001103,
RDG-TMP-0034,RFID-007,TMP691,Temperature,-17.7,2026-05-03 13:00:00,,,-17.7
RDG-GPS-0241,RFID-031,GPS923,GPS,"14.645957,120.986684",2026-05-03 13:00:00,14.645957,120.986684,
RDG-GPS-0050,RFID-007,GPS315,GPS,"14.684801,120.943673",2026-05-03 13:00:00,14.684801,120.943673,
RDG-RFD-0083,RFID-020,RFD178,RFID,VERIFIED,2026-05-03 13:00:00,,,
RDG-TMP-0003,RFID-001,TMP834,Temperature,6.1,2026-05-03 13:00:00,,,6.1
RDG-GPS-0233,RFID-030,GPS810,GPS,"14.640358,120.996568",2026-05-03 14:00:00,14.640358,120.996568,
RDG-RFD-0036,RFID-009,RFD955,RFID,VERIFIED,2026-05-03 14:00:00,,,
RDG-GPS-0338,RFID-043,GPS459,GPS,"13.293384,121.699297",2026-05-03 14:00:00,13.293384,121.699297,
RDG-TMP-0121,RFID-030,TMP424,Temperature,6.4,2026-05-03 14:00:00,,,6.4
RDG-GPS-0266,RFID-034,GPS980,GPS,"14.558961,121.059721",2026-05-03 14:00:00,14.558961,121.059721,
RDG-RFD-0150,RFID-034,RFD447,RFID,VERIFIED,2026-05-03 14:00:00,,,
RDG-TMP-0138,RFID-034,TMP735,Temperature,-18.7,2026-05-03 14:00:00,,,-18.7
RDG-GPS-0065,RFID-009,GPS151,GPS,"14.495797,120.981796",2026-05-03 14:00:00,14.495797,120.981796,
RDG-RFD-0134,RFID-031,RFD263,RFID,VERIFIED,2026-05-03 14:00:00,,,
RDG-TMP-0041,RFID-009,TMP904,Temperature,13.3,2026-05-03 14:00:00,,,13.3
RDG-RFD-0027,RFID-007,RFD327,RFID,FLAGGED,2026-05-03 14:00:00,,,
RDG-GPS-0242,RFID-031,GPS659,GPS,"14.647011,120.970006",2026-05-03 15:00:00,14.647011,120.970006,
RDG-RFD-0192,RFID-043,RFD304,RFID,VERIFIED,2026-05-03 15:00:00,,,
RDG-GPS-0157,RFID-020,GPS489,GPS,"14.560756,121.028198",2026-05-03 15:00:00,14.560756,121.028198,
RDG-TMP-0130,RFID-031,TMP685,Temperature,-16.1,2026-05-03 15:00:00,,,-16.1
RDG-GPS-0330,RFID-042,GPS593,GPS,"14.65077,120.915502",2026-05-03 15:00:00,14.65077,120.915502,
RDG-TMP-0035,RFID-007,TMP428,Temperature,-17.3,2026-05-03 15:00:00,,,-17.3
RDG-TMP-0186,RFID-042,TMP691,Temperature,-28.4,2026-05-03 15:00:00,,,-28.4
RDG-GPS-0051,RFID-007,GPS770,GPS,"14.635846,120.97457",2026-05-03 15:00:00,14.635846,120.97457,
RDG-TMP-0004,RFID-001,TMP622,Temperature,2.5,2026-05-03 15:00:00,,,2.5
RDG-GPS-0289,RFID-037,GPS943,GPS,"14.649921,121.047101",2026-05-03 15:00:00,14.649921,121.047101,
RDG-GPS-0004,RFID-001,GPS218,GPS,"14.640793,121.004958",2026-05-03 15:00:00,14.640793,121.004958,
RDG-TMP-0042,RFID-009,TMP518,Temperature,13.4,2026-05-03 16:00:00,,,13.4
