reading_id,rfid_tag,device_id,data_type,data_value,timestamp,gps_lat,gps_lng
RDG-GPS-0001,RFID-001,GPS985,GPS,"14.264923,120.967416",2026-05-03 17:00:00,14.264923,120.967416
RDG-GPS-0002,RFID-001,GPS963,GPS,"14.40099,120.962512",2026-05-03 19:00:00,14.40099,120.962512
RDG-GPS-0003,RFID-001,GPS174,GPS,"14.472531,120.968201",2026-05-03 21:00:00,14.472531,120.968201
RDG-GPS-0004,RFID-001,GPS477,GPS,"14.521417,120.977563",2026-05-03 23:00:00,14.521417,120.977563
RDG-GPS-0005,RFID-001,GPS168,GPS,"14.583952,120.974364",2026-05-04 01:00:00,14.583952,120.974364
RDG-GPS-0006,RFID-002,GPS600,GPS,"14.464345,121.036432",2026-05-04 06:00:00,14.464345,121.036432
RDG-GPS-0007,RFID-002,GPS767,GPS,"14.505112,121.038929",2026-05-04 08:00:00,14.505112,121.038929
RDG-GPS-0008,RFID-002,GPS382,GPS,"14.581162,120.990176",2026-05-04 10:00:00,14.581162,120.990176
RDG-GPS-0009,RFID-002,GPS967,GPS,"14.586445,121.003019",2026-05-04 12:00:00,14.586445,121.003019
RDG-GPS-0010,RFID-002,GPS733,GPS,"14.645407,121.024163",2026-05-04 14:00:00,14.645407,121.024163
RDG-GPS-0011,RFID-003,GPS719,GPS,"14.510645,121.074847",2026-05-04 13:00:00,14.510645,121.074847
RDG-GPS-0012,RFID-003,GPS346,GPS,"14.603414,121.08785",2026-05-04 15:00:00,14.603414,121.08785
RDG-GPS-0013,RFID-003,GPS276,GPS,"14.634204,121.023871",2026-05-04 17:00:00,14.634204,121.023871
RDG-GPS-0014,RFID-003,GPS740,GPS,"14.65837,120.989051",2026-05-04 19:00:00,14.65837,120.989051
RDG-GPS-0015,RFID-003,GPS385,GPS,"14.628121,120.942921",2026-05-04 21:00:00,14.628121,120.942921
RDG-GPS-0016,RFID-004,GPS501,GPS,"14.415538,120.919047",2026-05-05 03:00:00,14.415538,120.919047
RDG-GPS-0017,RFID-004,GPS379,GPS,"14.562921,120.967342",2026-05-05 05:00:00,14.562921,120.967342
RDG-GPS-0018,RFID-004,GPS798,GPS,"14.596504,120.943155",2026-05-05 07:00:00,14.596504,120.943155
RDG-GPS-0019,RFID-004,GPS117,GPS,"14.625317,120.962525",2026-05-05 09:00:00,14.625317,120.962525
RDG-GPS-0020,RFID-004,GPS849,GPS,"14.667568,120.938452",2026-05-05 11:00:00,14.667568,120.938452
RDG-GPS-0021,RFID-005,GPS563,GPS,"14.42939,121.064837",2026-05-04 12:00:00,14.42939,121.064837
RDG-GPS-0022,RFID-005,GPS611,GPS,"14.47221,121.067479",2026-05-04 14:00:00,14.47221,121.067479
RDG-GPS-0023,RFID-005,GPS603,GPS,"14.445633,121.093842",2026-05-04 16:00:00,14.445633,121.093842
RDG-GPS-0024,RFID-005,GPS464,GPS,"14.492278,121.082679",2026-05-04 18:00:00,14.492278,121.082679
RDG-GPS-0025,RFID-005,GPS240,GPS,"14.46598,121.043045",2026-05-04 20:00:00,14.46598,121.043045
RDG-GPS-0026,RFID-006,GPS647,GPS,"14.461823,121.074421",2026-05-04 09:00:00,14.461823,121.074421
RDG-GPS-0027,RFID-006,GPS529,GPS,"14.393963,121.086267",2026-05-04 11:00:00,14.393963,121.086267
RDG-GPS-0028,RFID-006,GPS108,GPS,"14.428732,120.998522",2026-05-04 13:00:00,14.428732,120.998522
RDG-GPS-0029,RFID-006,GPS354,GPS,"14.298147,120.994875",2026-05-04 15:00:00,14.298147,120.994875
RDG-GPS-0030,RFID-006,GPS236,GPS,"14.285984,120.994377",2026-05-04 17:00:00,14.285984,120.994377
RDG-GPS-0031,RFID-007,GPS567,GPS,"14.529191,121.019165",2026-05-03 14:00:00,14.529191,121.019165
RDG-GPS-0032,RFID-007,GPS312,GPS,"14.509873,121.042269",2026-05-03 16:00:00,14.509873,121.042269
RDG-GPS-0033,RFID-007,GPS454,GPS,"14.473569,121.015841",2026-05-03 18:00:00,14.473569,121.015841
RDG-GPS-0034,RFID-007,GPS394,GPS,"14.50597,120.969877",2026-05-03 20:00:00,14.50597,120.969877
