reading_id,rfid_tag,device_id,data_type,data_value,timestamp
RDG-TMP-0001,RFID-001,TMP706,Temperature,5.6,2026-05-03 17:00:00
RDG-TMP-0002,RFID-001,TMP191,Temperature,4.5,2026-05-03 19:00:00
RDG-TMP-0003,RFID-001,TMP182,Temperature,8.3,2026-05-03 21:00:00
RDG-TMP-0004,RFID-001,TMP458,Temperature,7.6,2026-05-03 23:00:00
RDG-TMP-0005,RFID-001,TMP133,Temperature,2.8,2026-05-04 01:00:00
RDG-TMP-0006,RFID-003,TMP465,Temperature,2.7,2026-05-04 13:00:00
RDG-TMP-0007,RFID-003,TMP924,Temperature,3.0,2026-05-04 15:00:00
RDG-TMP-0008,RFID-003,TMP459,Temperature,2.9,2026-05-04 17:00:00
RDG-TMP-0009,RFID-003,TMP970,Temperature,2.4,2026-05-04 19:00:00
RDG-TMP-0010,RFID-003,TMP241,Temperature,3.3,2026-05-04 21:00:00
RDG-TMP-0011,RFID-004,TMP896,Temperature,-28.6,2026-05-05 03:00:00
RDG-TMP-0012,RFID-004,TMP866,Temperature,-29.1,2026-05-05 05:00:00
RDG-TMP-0013,RFID-004,TMP453,Temperature,-29.1,2026-05-05 07:00:00
RDG-TMP-0014,RFID-004,TMP106,Temperature,-29.9,2026-05-05 09:00:00
RDG-TMP-0015,RFID-004,TMP706,Temperature,-29.4,2026-05-05 11:00:00
RDG-TMP-0016,RFID-005,TMP505,Temperature,-28.7,2026-05-04 12:00:00
RDG-TMP-0017,RFID-005,TMP320,Temperature,-29.3,2026-05-04 14:00:00
RDG-TMP-0018,RFID-005,TMP401,Temperature,-29.6,2026-05-04 16:00:00
RDG-TMP-0019,RFID-005,TMP790,Temperature,-28.1,2026-05-04 18:00:00
RDG-TMP-0020,RFID-005,TMP699,Temperature,-28.2,2026-05-04 20:00:00
RDG-TMP-0021,RFID-006,TMP773,Temperature,3.0,2026-05-04 09:00:00
RDG-TMP-0022,RFID-006,TMP647,Temperature,3.4,2026-05-04 11:00:00
RDG-TMP-0023,RFID-006,TMP575,Temperature,3.2,2026-05-04 13:00:00
RDG-TMP-0024,RFID-006,TMP527,Temperature,2.4,2026-05-04 15:00:00
RDG-TMP-0025,RFID-006,TMP823,Temperature,3.6,2026-05-04 17:00:00
RDG-TMP-0026,RFID-007,TMP623,Temperature,13.4,2026-05-03 14:00:00
RDG-TMP-0027,RFID-007,TMP349,Temperature,16.4,2026-05-03 16:00:00
RDG-TMP-0028,RFID-007,TMP844,Temperature,12.1,2026-05-03 18:00:00
RDG-TMP-0029,RFID-007,TMP855,Temperature,12.7,2026-05-03 20:00:00
RDG-TMP-0030,RFID-007,TMP383,Temperature,13.0,2026-05-03 22:00:00
RDG-TMP-0031,RFID-011,TMP104,Temperature,12.2,2026-05-03 07:00:00
RDG-TMP-0032,RFID-011,TMP505,Temperature,13.6,2026-05-03 09:00:00
RDG-TMP-0033,RFID-011,TMP784,Temperature,13.8,2026-05-03 11:00:00
RDG-TMP-0034,RFID-011,TMP255,Temperature,13.5,2026-05-03 13:00:00
RDG-TMP-0035,RFID-011,TMP976,Temperature,13.4,2026-05-03 15:00:00
RDG-TMP-0036,RFID-012,TMP901,Temperature,10.4,2026-05-04 21:00:00
RDG-TMP-0037,RFID-012,TMP934,Temperature,5.0,2026-05-04 23:00:00
RDG-TMP-0038,RFID-012,TMP206,Temperature,6.1,2026-05-05 01:00:00
RDG-TMP-0039,RFID-012,TMP819,Temperature,5.7,2026-05-05 03:00:00
RDG-TMP-0040,RFID-012,TMP185,Temperature,2.6,2026-05-05 05:00:00
RDG-TMP-0041,RFID-013,TMP974,Temperature,-18.7,2026-05-04 04:00:00
RDG-TMP-0042,RFID-013,TMP620,Temperature,-19.7,2026-05-04 06:00:00
RDG-TMP-0043,RFID-013,TMP427,Temperature,-18.2,2026-05-04 08:00:00
RDG-TMP-0044,RFID-013,TMP678,Temperature,-14.8,2026-05-04 10:00:00
RDG-TMP-0045,RFID-013,TMP952,Temperature,-18.2,2026-05-04 12:00:00
RDG-TMP-0046,RFID-016,TMP613,Temperature,-28.4,2026-05-04 19:00:00
RDG-TMP-0047,RFID-016,TMP710,Temperature,-29.3,2026-05-04 21:00:00
RDG-TMP-0048,RFID-016,TMP469,Temperature,-28.9,2026-05-04 23:00:00
RDG-TMP-0049,RFID-016,TMP760,Temperature,-26.9,2026-05-05 01:00:00
