reading_id,rfid_tag,device_id,data_type,data_value,timestamp,gps_lat,gps_lng
RDG-GPS-0001,RFID-001,GPS984,GPS,"14.69885,120.978708",2026-05-05 06:00:00,14.69885,120.978708
RDG-GPS-0002,RFID-001,GPS299,GPS,"14.610206,120.983914",2026-05-05 08:00:00,14.610206,120.983914
RDG-GPS-0003,RFID-001,GPS230,GPS,"14.572852,120.946892",2026-05-05 10:00:00,14.572852,120.946892
RDG-GPS-0004,RFID-001,GPS419,GPS,"14.564486,120.947255",2026-05-05 12:00:00,14.564486,120.947255
RDG-GPS-0005,RFID-001,GPS436,GPS,"14.57966,120.940059",2026-05-05 14:00:00,14.57966,120.940059
RDG-GPS-0006,RFID-002,GPS669,GPS,"14.469359,121.033692",2026-05-03 15:00:00,14.469359,121.033692
RDG-GPS-0007,RFID-002,GPS235,GPS,"14.486999,121.03687",2026-05-03 17:00:00,14.486999,121.03687
RDG-GPS-0008,RFID-002,GPS558,GPS,"14.581876,121.015197",2026-05-03 19:00:00,14.581876,121.015197
RDG-GPS-0009,RFID-002,GPS254,GPS,"14.566011,121.058515",2026-05-03 21:00:00,14.566011,121.058515
RDG-GPS-0010,RFID-002,GPS676,GPS,"14.604546,121.023417",2026-05-03 23:00:00,14.604546,121.023417
RDG-GPS-0011,RFID-003,GPS256,GPS,"14.489027,120.958062",2026-05-04 01:00:00,14.489027,120.958062
RDG-GPS-0012,RFID-003,GPS480,GPS,"14.554051,120.99286",2026-05-04 03:00:00,14.554051,120.99286
RDG-GPS-0013,RFID-003,GPS809,GPS,"14.576578,120.987416",2026-05-04 05:00:00,14.576578,120.987416
RDG-GPS-0014,RFID-003,GPS378,GPS,"14.562043,121.044744",2026-05-04 07:00:00,14.562043,121.044744
RDG-GPS-0015,RFID-003,GPS751,GPS,"14.531349,121.01362",2026-05-04 09:00:00,14.531349,121.01362
RDG-GPS-0016,RFID-004,GPS906,GPS,"14.445387,120.965714",2026-05-03 18:00:00,14.445387,120.965714
RDG-GPS-0017,RFID-004,GPS684,GPS,"14.56143,121.004903",2026-05-03 20:00:00,14.56143,121.004903
RDG-GPS-0018,RFID-004,GPS197,GPS,"14.579631,120.983154",2026-05-03 22:00:00,14.579631,120.983154
RDG-GPS-0019,RFID-004,GPS804,GPS,"14.584566,121.040336",2026-05-04 00:00:00,14.584566,121.040336
RDG-GPS-0020,RFID-004,GPS561,GPS,"14.617428,121.074926",2026-05-04 02:00:00,14.617428,121.074926
RDG-GPS-0021,RFID-005,GPS167,GPS,"14.571108,121.041288",2026-05-05 05:00:00,14.571108,121.041288
RDG-GPS-0022,RFID-005,GPS573,GPS,"14.57124,121.048794",2026-05-05 07:00:00,14.57124,121.048794
RDG-GPS-0023,RFID-005,GPS455,GPS,"14.576584,121.043976",2026-05-05 09:00:00,14.576584,121.043976
RDG-GPS-0024,RFID-005,GPS504,GPS,"14.618264,121.088204",2026-05-05 11:00:00,14.618264,121.088204
RDG-GPS-0025,RFID-005,GPS304,GPS,"14.656523,121.078884",2026-05-05 13:00:00,14.656523,121.078884
RDG-GPS-0026,RFID-006,GPS977,GPS,"14.608657,121.016591",2026-05-05 05:00:00,14.608657,121.016591
RDG-GPS-0027,RFID-006,GPS547,GPS,"14.557593,121.002595",2026-05-05 07:00:00,14.557593,121.002595
RDG-GPS-0028,RFID-006,GPS599,GPS,"14.614684,121.044116",2026-05-05 09:00:00,14.614684,121.044116
RDG-GPS-0029,RFID-006,GPS556,GPS,"14.545558,120.964416",2026-05-05 11:00:00,14.545558,120.964416
RDG-GPS-0030,RFID-006,GPS227,GPS,"14.540178,121.048692",2026-05-05 13:00:00,14.540178,121.048692
RDG-GPS-0031,RFID-007,GPS150,GPS,"14.558648,120.986242",2026-05-05 05:00:00,14.558648,120.986242
RDG-GPS-0032,RFID-007,GPS943,GPS,"14.481343,121.044451",2026-05-05 07:00:00,14.481343,121.044451
RDG-GPS-0033,RFID-007,GPS835,GPS,"14.423941,121.002052",2026-05-05 09:00:00,14.423941,121.002052
RDG-GPS-0034,RFID-007,GPS433,GPS,"14.407982,121.087649",2026-05-05 11:00:00,14.407982,121.087649
RDG-GPS-0035,RFID-007,GPS169,GPS,"14.3948,121.052841",2026-05-05 13:00:00,14.3948,121.052841
RDG-GPS-0036,RFID-008,GPS118,GPS,"14.749569,121.083736",2026-05-03 13:00:00,14.749569,121.083736
RDG-GPS-0037,RFID-008,GPS663,GPS,"14.731653,121.034423",2026-05-03 15:00:00,14.731653,121.034423
RDG-GPS-0038,RFID-008,GPS169,GPS,"14.66441,121.032811",2026-05-03 17:00:00,14.66441,121.032811
RDG-GPS-0039,RFID-008,GPS558,GPS,"14.632599,121.014671",2026-05-03 19:00:00,14.632599,121.014671
RDG-GPS-0040,RFID-008,GPS250,GPS,"14.610617,120.998078",2026-05-03 21:00:00,14.610617,120.998078
RDG-GPS-0041,RFID-009,GPS682,GPS,"14.462706,121.020209",2026-05-03 16:00:00,14.462706,121.020209
RDG-GPS-0042,RFID-009,GPS821,GPS,"14.516268,121.039388",2026-05-03 18:00:00,14.516268,121.039388
RDG-GPS-0043,RFID-009,GPS816,GPS,"14.550192,121.113206",2026-05-03 20:00:00,14.550192,121.113206
RDG-GPS-0044,RFID-009,GPS442,GPS,"14.580071,121.145236",2026-05-03 22:00:00,14.580071,121.145236
