reading_id,rfid_tag,device_id,data_type,data_value,timestamp,gps_lat,gps_lng,temperature_c
RDG-TMP-0031,RFID-011,TMP104,Temperature,12.2,2026-05-03 07:00:00,,,12.2
RDG-GPS-0096,RFID-020,GPS291,GPS,"14.601956,120.989036",2026-05-03 07:00:00,14.601956,120.989036,
RDG-GPS-0051,RFID-011,GPS728,GPS,"14.620032,120.962165",2026-05-03 07:00:00,14.620032,120.962165,
RDG-RFD-0027,RFID-011,RFD702,RFID,VERIFIED,2026-05-03 08:00:00,,,
RDG-GPS-0097,RFID-020,GPS920,GPS,"14.595757,120.981906",2026-05-03 09:00:00,14.595757,120.981906,
RDG-GPS-0136,RFID-028,GPS356,GPS,"14.374937,121.038127",2026-05-03 09:00:00,14.374937,121.038127,
RDG-RFD-0057,RFID-020,RFD166,RFID,VERIFIED,2026-05-03 09:00:00,,,
RDG-TMP-0032,RFID-011,TMP505,Temperature,13.6,2026-05-03 09:00:00,,,13.6
RDG-GPS-0052,RFID-011,GPS262,GPS,"14.622406,120.970944",2026-05-03 09:00:00,14.622406,120.970944,
RDG-RFD-0079,RFID-028,RFD922,RFID,FLAGGED,2026-05-03 10:00:00,,,
RDG-TMP-0033,RFID-011,TMP784,Temperature,13.8,2026-05-03 11:00:00,,,13.8
RDG-GPS-0098,RFID-020,GPS343,GPS,"14.544307,120.958798",2026-05-03 11:00:00,14.544307,120.958798,
RDG-GPS-0137,RFID-028,GPS501,GPS,"14.474628,121.042294",2026-05-03 11:00:00,14.474628,121.042294,
RDG-GPS-0053,RFID-011,GPS125,GPS,"14.552821,120.960382",2026-05-03 11:00:00,14.552821,120.960382,
RDG-RFD-0028,RFID-011,RFD676,RFID,VERIFIED,2026-05-03 12:00:00,,,
RDG-RFD-0058,RFID-020,RFD700,RFID,VERIFIED,2026-05-03 12:00:00,,,
RDG-GPS-0099,RFID-020,GPS858,GPS,"14.550873,120.954035",2026-05-03 13:00:00,14.550873,120.954035,
RDG-TMP-0034,RFID-011,TMP255,Temperature,13.5,2026-05-03 13:00:00,,,13.5
RDG-GPS-0138,RFID-028,GPS805,GPS,"14.521048,121.099622",2026-05-03 13:00:00,14.521048,121.099622,
RDG-GPS-0054,RFID-011,GPS799,GPS,"14.586248,121.02977",2026-05-03 13:00:00,14.586248,121.02977,
RDG-TMP-0026,RFID-007,TMP623,Temperature,13.4,2026-05-03 14:00:00,,,13.4
RDG-GPS-0031,RFID-007,GPS567,GPS,"14.529191,121.019165",2026-05-03 14:00:00,14.529191,121.019165,
RDG-GPS-0100,RFID-020,GPS852,GPS,"14.547396,120.958379",2026-05-03 15:00:00,14.547396,120.958379,
RDG-GPS-0055,RFID-011,GPS796,GPS,"14.56466,121.02077",2026-05-03 15:00:00,14.56466,121.02077,
RDG-GPS-0139,RFID-028,GPS653,GPS,"14.564057,121.056001",2026-05-03 15:00:00,14.564057,121.056001,
RDG-TMP-0035,RFID-011,TMP976,Temperature,13.4,2026-05-03 15:00:00,,,13.4
