reading_id,rfid_tag,device_id,data_type,data_value,timestamp
RDG-RFD-0001,RFID-001,RFD663,RFID,VERIFIED,2026-05-04 10:00:00
RDG-RFD-0002,RFID-001,RFD745,RFID,VERIFIED,2026-05-04 14:00:00
RDG-RFD-0003,RFID-001,RFD479,RFID,VERIFIED,2026-05-04 22:00:00
RDG-RFD-0004,RFID-002,RFD867,RFID,VERIFIED,2026-05-04 07:00:00
RDG-RFD-0005,RFID-002,RFD216,RFID,VERIFIED,2026-05-04 11:00:00
RDG-RFD-0006,RFID-002,RFD168,RFID,VERIFIED,2026-05-04 17:00:00
RDG-RFD-0007,RFID-002,RFD481,RFID,VERIFIED,2026-05-04 19:00:00
RDG-RFD-0008,RFID-003,RFD248,RFID,VERIFIED,2026-05-03 17:00:00
RDG-RFD-0009,RFID-003,RFD203,RFID,VERIFIED,2026-05-03 21:00:00
RDG-RFD-0010,RFID-003,RFD972,RFID,VERIFIED,2026-05-04 03:00:00
RDG-RFD-0011,RFID-003,RFD397,RFID,VERIFIED,2026-05-04 05:00:00
RDG-RFD-0012,RFID-004,RFD158,RFID,VERIFIED,2026-05-04 11:00:00
RDG-RFD-0013,RFID-004,RFD112,RFID,VERIFIED,2026-05-04 15:00:00
RDG-RFD-0014,RFID-005,RFD298,RFID,VERIFIED,2026-05-04 19:00:00
RDG-RFD-0015,RFID-005,RFD884,RFID,VERIFIED,2026-05-04 23:00:00
RDG-RFD-0016,RFID-006,RFD818,RFID,VERIFIED,2026-05-04 14:00:00
RDG-RFD-0017,RFID-006,RFD964,RFID,VERIFIED,2026-05-04 20:00:00
RDG-RFD-0018,RFID-007,RFD440,RFID,VERIFIED,2026-05-03 22:00:00
RDG-RFD-0019,RFID-007,RFD112,RFID,VERIFIED,2026-05-04 03:00:00
RDG-RFD-0020,RFID-008,RFD387,RFID,VERIFIED,2026-05-04 04:00:00
RDG-RFD-0021,RFID-008,RFD163,RFID,FLAGGED,2026-05-04 07:00:00
RDG-RFD-0022,RFID-009,RFD882,RFID,VERIFIED,2026-05-03 14:00:00
RDG-RFD-0023,RFID-009,RFD495,RFID,VERIFIED,2026-05-03 19:00:00
RDG-RFD-0024,RFID-009,RFD917,RFID,VERIFIED,2026-05-03 22:00:00
RDG-RFD-0025,RFID-009,RFD324,RFID,VERIFIED,2026-05-04 02:00:00
RDG-RFD-0026,RFID-010,RFD372,RFID,VERIFIED,2026-05-05 06:00:00
RDG-RFD-0027,RFID-010,RFD498,RFID,VERIFIED,2026-05-05 12:00:00
RDG-RFD-0028,RFID-010,RFD264,RFID,VERIFIED,2026-05-05 18:00:00
RDG-RFD-0029,RFID-010,RFD916,RFID,VERIFIED,2026-05-05 18:00:00
RDG-RFD-0030,RFID-011,RFD929,RFID,VERIFIED,2026-05-04 18:00:00
RDG-RFD-0031,RFID-011,RFD572,RFID,VERIFIED,2026-05-04 22:00:00
