reading_id,rfid_tag,timestamp,latitude,longitude,temperature_c
READ-001,RFID-001,2025-01-01 08:00:00,8.942282,119.589392,26.45
READ-002,RFID-001,2025-01-01 09:00:00,6.182206,116.509235,31.9
READ-003,RFID-001,2025-01-01 10:00:00,17.298876,123.862261,31.04
READ-004,RFID-001,2025-01-01 11:00:00,9.38757,116.06963,25.17
READ-005,RFID-001,2025-01-01 12:00:00,16.422941,125.514495,26.49
READ-006,RFID-002,2025-01-01 13:00:00,14.637091,117.25943,33.93
READ-007,RFID-002,2025-01-01 14:00:00,16.039979,116.239566,20.81
READ-008,RFID-002,2025-01-01 15:00:00,13.425274,119.301469,22.51
READ-009,RFID-002,2025-01-01 16:00:00,11.485058,116.46213,21.22
READ-010,RFID-002,2025-01-01 17:00:00,20.331887,121.697965,33.41
READ-011,RFID-003,2025-01-01 18:00:00,19.86779,121.415195,20.88
READ-012,RFID-003,2025-01-01 19:00:00,7.715673,119.284089,17.89
READ-013,RFID-003,2025-01-01 20:00:00,4.644025,125.018191,17.44
READ-014,RFID-003,2025-01-01 21:00:00,7.452978,123.84598,19.87
READ-015,RFID-003,2025-01-01 22:00:00,5.247934,121.249025,28.54
READ-016,RFID-004,2025-01-01 23:00:00,16.632853,125.193282,25.58
READ-017,RFID-004,2025-01-02 00:00:00,18.225993,118.132568,18.51
READ-018,RFID-004,2025-01-02 01:00:00,13.711465,125.009779,21.05
READ-019,RFID-004,2025-01-02 02:00:00,5.480086,125.355692,20.15
READ-020,RFID-004,2025-01-02 03:00:00,12.828693,116.148454,32.06
READ-021,RFID-005,2025-01-02 04:00:00,15.154159,117.985176,15.2
READ-022,RFID-005,2025-01-02 05:00:00,9.480379,123.325261,33.82
READ-023,RFID-005,2025-01-02 06:00:00,9.824437,126.400309,33.09
READ-024,RFID-005,2025-01-02 07:00:00,9.14063,123.068316,34.61
READ-025,RFID-005,2025-01-02 08:00:00,8.954925,125.878696,17.32
READ-026,RFID-006,2025-01-02 09:00:00,14.948689,120.37045,22.77
READ-027,RFID-006,2025-01-02 10:00:00,9.014435,118.76809,19.93
READ-028,RFID-006,2025-01-02 11:00:00,11.817278,120.91,15.62
READ-029,RFID-006,2025-01-02 12:00:00,13.793294,121.306135,28.92
READ-030,RFID-006,2025-01-02 13:00:00,5.759031,116.20819,30.61
READ-031,RFID-007,2025-01-02 14:00:00,7.653555,119.781467,18.09
READ-032,RFID-007,2025-01-02 15:00:00,7.472067,119.017177,31.96
READ-033,RFID-007,2025-01-02 16:00:00,4.55206,124.547158,18.74
READ-034,RFID-007,2025-01-02 17:00:00,10.73264,118.469363,27.18
READ-035,RFID-007,2025-01-02 18:00:00,20.010479,119.162767,21.26
READ-036,RFID-008,2025-01-02 19:00:00,13.844817,122.200788,23.01
READ-037,RFID-008,2025-01-02 20:00:00,4.3428,117.425461,34.02
READ-038,RFID-008,2025-01-02 21:00:00,13.238554,126.691235,21.0
READ-039,RFID-008,2025-01-02 22:00:00,18.216145,122.678371,15.85
READ-040,RFID-008,2025-01-02 23:00:00,15.81371,120.169701,34.99
READ-041,RFID-009,2025-01-03 00:00:00,10.643561,123.857479,25.44
READ-042,RFID-009,2025-01-03 01:00:00,11.582184,125.299133,20.99
READ-043,RFID-009,2025-01-03 02:00:00,5.120119,122.845949,33.78
READ-044,RFID-009,2025-01-03 03:00:00,17.555717,123.172096,27.44
READ-045,RFID-009,2025-01-03 04:00:00,9.995849,116.525461,30.89
READ-046,RFID-010,2025-01-03 05:00:00,13.610758,119.116605,21.97
READ-047,RFID-010,2025-01-03 06:00:00,8.952942,124.644711,27.78
READ-048,RFID-010,2025-01-03 07:00:00,12.698681,120.136396,15.02
READ-049,RFID-010,2025-01-03 08:00:00,16.003658,117.276145,15.72
READ-050,RFID-010,2025-01-03 09:00:00,19.214428,124.30619,34.8
