reading_id,rfid_tag,device_id,data_type,data_value,timestamp
RDG-TMP-0001,RFID-002,TMP375,Temperature,-29.6,2026-05-03 15:00:00
RDG-TMP-0002,RFID-002,TMP159,Temperature,-29.7,2026-05-03 17:00:00
RDG-TMP-0003,RFID-002,TMP419,Temperature,-29.1,2026-05-03 19:00:00
RDG-TMP-0004,RFID-002,TMP833,Temperature,-28.1,2026-05-03 21:00:00
RDG-TMP-0005,RFID-002,TMP424,Temperature,-29.5,2026-05-03 23:00:00
RDG-TMP-0006,RFID-003,TMP316,Temperature,4.0,2026-05-04 01:00:00
RDG-TMP-0007,RFID-003,TMP446,Temperature,3.5,2026-05-04 03:00:00
RDG-TMP-0008,RFID-003,TMP508,Temperature,2.9,2026-05-04 05:00:00
RDG-TMP-0009,RFID-003,TMP923,Temperature,2.9,2026-05-04 07:00:00
RDG-TMP-0010,RFID-003,TMP160,Temperature,4.0,2026-05-04 09:00:00
RDG-TMP-0011,RFID-004,TMP593,Temperature,-28.7,2026-05-03 18:00:00
RDG-TMP-0012,RFID-004,TMP116,Temperature,-29.7,2026-05-03 20:00:00
RDG-TMP-0013,RFID-004,TMP439,Temperature,-29.1,2026-05-03 22:00:00
RDG-TMP-0014,RFID-004,TMP157,Temperature,-29.8,2026-05-04 00:00:00
RDG-TMP-0015,RFID-004,TMP567,Temperature,-29.9,2026-05-04 02:00:00
RDG-TMP-0016,RFID-006,TMP189,Temperature,3.1,2026-05-05 05:00:00
RDG-TMP-0017,RFID-006,TMP951,Temperature,3.4,2026-05-05 07:00:00
RDG-TMP-0018,RFID-006,TMP627,Temperature,2.1,2026-05-05 09:00:00
RDG-TMP-0019,RFID-006,TMP653,Temperature,3.6,2026-05-05 11:00:00
RDG-TMP-0020,RFID-006,TMP640,Temperature,3.3,2026-05-05 13:00:00
RDG-TMP-0021,RFID-007,TMP332,Temperature,-17.7,2026-05-05 05:00:00
RDG-TMP-0022,RFID-007,TMP522,Temperature,-17.1,2026-05-05 07:00:00
RDG-TMP-0023,RFID-007,TMP425,Temperature,-19.7,2026-05-05 09:00:00
RDG-TMP-0024,RFID-007,TMP303,Temperature,-15.0,2026-05-05 11:00:00
RDG-TMP-0025,RFID-007,TMP401,Temperature,-18.2,2026-05-05 13:00:00
RDG-TMP-0026,RFID-008,TMP938,Temperature,-27.6,2026-05-03 13:00:00
RDG-TMP-0027,RFID-008,TMP625,Temperature,-26.0,2026-05-03 15:00:00
RDG-TMP-0028,RFID-008,TMP730,Temperature,-28.1,2026-05-03 17:00:00
RDG-TMP-0029,RFID-008,TMP305,Temperature,-27.1,2026-05-03 19:00:00
RDG-TMP-0030,RFID-008,TMP301,Temperature,-29.5,2026-05-03 21:00:00
RDG-TMP-0031,RFID-010,TMP179,Temperature,-16.7,2026-05-03 18:00:00
RDG-TMP-0032,RFID-010,TMP627,Temperature,-16.1,2026-05-03 20:00:00
RDG-TMP-0033,RFID-010,TMP365,Temperature,-16.1,2026-05-03 22:00:00
RDG-TMP-0034,RFID-010,TMP311,Temperature,-19.5,2026-05-04 00:00:00
RDG-TMP-0035,RFID-010,TMP491,Temperature,-17.2,2026-05-04 02:00:00
RDG-TMP-0036,RFID-011,TMP966,Temperature,5.8,2026-05-03 07:00:00
RDG-TMP-0037,RFID-011,TMP332,Temperature,4.5,2026-05-03 09:00:00
RDG-TMP-0038,RFID-011,TMP986,Temperature,3.0,2026-05-03 11:00:00
RDG-TMP-0039,RFID-011,TMP698,Temperature,2.5,2026-05-03 13:00:00
RDG-TMP-0040,RFID-011,TMP771,Temperature,4.1,2026-05-03 15:00:00
RDG-TMP-0041,RFID-013,TMP165,Temperature,15.0,2026-05-03 10:00:00
RDG-TMP-0042,RFID-013,TMP335,Temperature,13.8,2026-05-03 12:00:00
RDG-TMP-0043,RFID-013,TMP959,Temperature,13.8,2026-05-03 14:00:00
RDG-TMP-0044,RFID-013,TMP419,Temperature,13.4,2026-05-03 16:00:00
RDG-TMP-0045,RFID-013,TMP421,Temperature,12.6,2026-05-03 18:00:00
RDG-TMP-0046,RFID-015,TMP474,Temperature,2.7,2026-05-03 19:00:00
RDG-TMP-0047,RFID-015,TMP596,Temperature,2.7,2026-05-03 21:00:00
RDG-TMP-0048,RFID-015,TMP688,Temperature,2.9,2026-05-03 23:00:00
RDG-TMP-0049,RFID-015,TMP119,Temperature,3.2,2026-05-04 01:00:00
RDG-TMP-0050,RFID-015,TMP522,Temperature,2.3,2026-05-04 03:00:00
RDG-TMP-0051,RFID-017,TMP487,Temperature,12.2,2026-05-05 05:00:00
RDG-TMP-0052,RFID-017,TMP498,Temperature,13.7,2026-05-05 07:00:00
